Coefficient 0,Coefficient 1,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,DCX Type,Parameter
13.88844046295984,6.668000684146635,5.0,0.0,None,Shrink Rate $(\mu m / min)$
1.146555848153686,0.9526360366386093,5.0,0.0,None,Shrink Rate $(\mu m / min)$
1.3153001162597366,0.6135959987995069,5.0,100.0,P191R,Shrink Rate $(\mu m / min)$
0.033453661634012574,0.027380116034502452,5.0,100.0,P191R,Shrink Rate $(\mu m / min)$
1.0424731341027642,0.341235067975672,6.0,100.0,WT,Shrink Rate $(\mu m / min)$
0.005439151113463663,0.0034760269000469546,6.0,100.0,WT,Shrink Rate $(\mu m / min)$
13.994045243033465,7.122377149470467,6.0,0.0,None,Shrink Rate $(\mu m / min)$
1.0195105400054407,0.8527787414668612,6.0,0.0,None,Shrink Rate $(\mu m / min)$
1.084537974024192,0.34822056990379446,6.0,100.0,P191R,Shrink Rate $(\mu m / min)$
0.020155650649883474,0.014465046290047249,6.0,100.0,P191R,Shrink Rate $(\mu m / min)$
1.5463771958543786,0.6061476450251377,7.0,100.0,WT,Shrink Rate $(\mu m / min)$
0.03712867195309087,0.030321411113193638,7.0,100.0,WT,Shrink Rate $(\mu m / min)$
16.218035121109605,5.032175387641964,7.0,0.0,None,Shrink Rate $(\mu m / min)$
0.5190312487316389,0.42464828429934703,7.0,0.0,None,Shrink Rate $(\mu m / min)$
1.6309585479344808,0.848446165345528,5.0,100.0,WT,Shrink Rate $(\mu m / min)$
0.05655193804053225,0.04657426384664936,5.0,100.0,WT,Shrink Rate $(\mu m / min)$
